year,constituencyNumber,district,constituency,registeredVoters,validVotes,voterTurnout,awamiLeague,awamiLeaguePercentage,bangladeshNationalParty,bangladeshNationalPartyPercentage,jatiyaParty,jatiyaPartyPercentage,jamaatIslami,jamaatIslamiPercentage,others,othersPercentage,winner
1991,285,Chittagong,Chittagong-7,158185,85923,54.32,34615,40.29,20991,24.43,,,,,30317,35.28,AL
1991,286,Chittagong,Chittagong-8,241810,133148,55.06,44154,33.16,69422,52.14,3141,2.36,13466,10.11,2965,2.23,BNP
1991,287,Chittagong,Chittagong-9,223209,110140,49.34,48245,43.80,49818,45.23,1459,1.32,8392,7.62,2226,2.02,BNP
1991,289,Chittagong,Chittagong-11,186943,110343,59.02,39215,35.54,48715,44.15,11846,10.74,,,10567,9.58,BNP
1991,290,Chittagong,Chittagong-12,187742,90451,48.18,42973,47.51,33563,37.11,6861,7.59,2562,2.83,4492,4.97,AL
1991,291,Chittagong,Chittagong-13,153450,87563,57.06,27092,30.94,52072,59.47,612,0.70,6108,6.98,1679,1.92,BNP
1991,292,Chittagong,Chittagong-14,272666,136150,49.93,40659,29.86,31145,22.88,,,62897,46.20,1449,1.06,JIB
1991,293,Chittagong,Chittagong-15,190843,92319,48.37,29704,32.18,9308,10.08,,,21271,23.04,32036,34.70,Others
1991,294,Cox's Bazar,Cox's Bazar-1,211065,108368,51.34,32849,30.31,16238,14.98,,,37893,34.97,21388,19.74,JIB
1991,295,Cox's Bazar,Cox's Bazar-2,170037,81906,48.17,25727,31.41,20563,25.11,4461,5.45,23345,28.50,7810,9.54,AL
1991,296,Cox's Bazar,Cox's Bazar-3,195188,106322,54.47,32106,30.20,31109,29.26,776,0.73,30141,28.35,12190,11.47,AL
1991,297,Cox's Bazar,Cox's Bazar-4,142525,75642,53.07,33176,43.86,36872,48.75,919,1.21,397,0.52,4278,5.66,BNP
1991,299,Rangamati,Rangamati Hill Tracks,244566,92120,37.67,49221,53.43,24617,26.72,1514,1.64,9306,10.10,7462,8.10,AL
1991,300,Bandarban,Bandarban Hill Tracks,147706,42562,28.82,17659,41.49,7627,17.92,3262,7.66,7643,17.96,6371,14.97,AL
,,,,,,,,,,,,,,,,,
