year,constituencyNumber,district,constituency,registeredVoters,validVotes,voterTurnout,fourPartyAlliance,fourPartyAlliancePercentage,mohajote,mohajotePercentage,awamiLeague,awamiLeaguePercentage,bangladeshNationalParty,bangladeshNationalPartyPercentage,jatiyaParty,jatiyaPartyPercentage,jamaatIslami,jamaatIslamiPercentage,others,othersPercentage,blank,winner
2008,229,Sylhet,SYLHET1,409677,325070,79.35,140367,43.18,178636,54.95,,,,,,,,,2852,0.88,3215,MOHAJOTE
2008,230,Sylhet,SYLHET2,259833,217954,83.88,106040,48.65,109356,50.17,,,,,,,,,2041,0.94,517,MOHAJOTE
2008,231,Sylhet,SYLHET3,183644,183358,99.84,54955,29.97,,,97593,53.23,,,17674,9.64,,,12254,6.68,882,AL
2008,232,Sylhet,SYLHET4,283683,244791,86.29,98545,40.26,144198,58.91,,,,,,,,,1252,0.51,796,MOHAJOTE
2008,233,Sylhet,SYLHET5,242706,201167,82.89,78061,38.8,109690,54.53,,,,,,,,,12705,6.32,711,MOHAJOTE
2008,234,Sylhet,SYLHET6,294706,243651,82.68,51764,21.25,138353,56.78,,,,,,,,,52611,21.59,923,MOHAJOTE
2008,235,Maulvibazar,MAULVIBAZAR1,203170,177333,87.28,69609,39.25,106570,60.1,,,,,,,,,561,0.32,593,MOHAJOTE
2008,236,Maulvibazar,MAULVIBAZAR2,250086,213126,85.22,14105,6.62,,,1238,0.58,,,130941,61.44,,,66385,31.15,457,JP
2008,237,Maulvibazar,MAULVIBAZAR3,554079,262776,47.43,112895,42.96,144921,55.15,,,,,,,,,4308,1.64,652,MOHAJOTE
2008,238,Maulvibazar,MAULVIBAZAR4,250307,215537,86.11,79599,36.93,131740,61.12,,,,,,,,,3110,1.44,1088,MOHAJOTE
2008,239,Habiganj,HABIGANJ1,286197,238426,83.31,79488,33.34,152080,63.78,,,,,,,,,5982,2.51,876,MOHAJOTE
2008,240,Habiganj,HABIGANJ2,239916,203569,84.85,67059,32.94,,,122025,59.94,,,4665,2.29,,,9626,4.73,194,AL
2008,241,Habiganj,HABIGANJ3,252611,210833,83.46,57260,27.16,147827,70.12,,,,,,,,,4970,2.36,776,MOHAJOTE
2008,242,Habiganj,HABIGANJ4,324148,284826,87.87,124788,43.81,155896,54.73,,,,,,,,,3512,1.23,630,MOHAJOTE
2008,243,Brahmanbaria,BRAHMANBARIA1,212750,188389,88.55,85388,45.33,99886,53.02,,,,,,,,,2406,1.28,709,MOHAJOTE
2008,244,Brahmanbaria,BRAHMANBARIA2,321053,241601,75.25,94273,39.02,143672,59.47,,,,,,,,,3186,1.32,470,MOHAJOTE
2008,245,Brahmanbaria,BRAHMANBARIA3,290699,251311,86.45,86587,34.45,160052,63.69,,,,,,,,,3758,1.5,914,MOHAJOTE
2008,246,Brahmanbaria,BRAHMANBARIA4,238000,203971,85.7,82567,40.48,118692,58.19,,,,,,,,,2282,1.12,430,MOHAJOTE
2008,247,Brahmanbaria,BRAHMANBARIA5,232241,195504,84.18,73922,37.81,113173,57.89,,,,,,,,,7983,4.08,426,MOHAJOTE
2008,248,Brahmanbaria,BRAHMANBARIA6,177868,154393,86.8,58794,38.08,94016,60.89,,,,,,,,,1224,0.79,359,MOHAJOTE
2008,249,Comilla,COMILLA1,259383,216067,83.3,96378,44.61,114818,53.14,,,,,,,,,4450,2.06,421,MOHAJOTE
2008,250,Comilla,COMILLA2,212020,175556,82.8,94105,53.6,76666,43.67,,,,,,,,,4420,2.52,365,4P
2008,251,Comilla,COMILLA3,281523,238447,84.7,124386,52.17,109823,46.06,,,,,,,,,3628,1.52,610,4P
2008,252,Comilla,COMILLA4,231840,198848,85.77,81365,40.92,115056,57.86,,,,,,,,,1974,0.99,453,MOHAJOTE
2008,253,Comilla,COMILLA5,270417,225448,83.37,77260,34.27,143208,63.52,,,,,,,,,4491,1.99,489,MOHAJOTE
2008,254,Comilla,COMILLA6,289169,232510,80.41,102450,44.06,126136,54.25,,,,,,,,,2431,1.05,1493,MOHAJOTE
2008,255,Comilla,COMILLA7,196888,169595,86.14,73933,43.59,79440,46.84,,,,,,,,,15892,9.37,330,MOHAJOTE
2008,256,Comilla,COMILLA8,317211,268324,84.59,121887,45.43,141428,52.71,,,,,,,,,4331,1.61,678,MOHAJOTE
2008,257,Comilla,COMILLA9,276357,239920,86.82,117290,48.89,117748,49.08,,,,,,,,,4352,1.81,530,MOHAJOTE
2008,258,Comilla,COMILLA10,284219,232572,81.83,89821,38.62,138089,59.37,,,,,,,,,3443,1.48,1219,MOHAJOTE
2008,259,Comilla,COMILLA11,239400,194584,81.28,77924,40.05,,,101201,52.01,,,12980,6.67,,,1474,0.76,1005,AL
2008,260,Chadpur,CHANDPUR1,220052,190574,86.6,80872,42.44,107461,56.39,,,,,,,,,1868,0.98,373,MOHAJOTE
2008,261,Chadpur,CHANDPUR2,271137,223509,82.43,87061,38.95,123785,55.38,,,,,,,,,12151,5.44,512,MOHAJOTE
2008,262,Chadpur,CHANDPUR3,309603,258612,83.53,116068,44.88,134836,52.14,,,,,,,,,7170,2.77,538,MOHAJOTE
2008,263,Chadpur,CHANDPUR4,223597,174836,78.19,88905,50.85,81838,46.81,,,,,,,,,3658,2.09,435,4P
2008,264,Chadpur,CHANDPUR5,301254,256372,85.1,110480,43.09,143497,55.97,,,,,,,,,1688,0.66,707,MOHAJOTE
2008,265,Feni,FENI1,222478,175981,79.1,114482,65.05,58551,33.27,,,,,,,,,2046,1.16,902,4P
2008,266,Feni,FENI2,260906,209849,80.43,120297,57.33,86713,41.32,,,,,,,,,2086,0.99,753,4P
2008,267,Feni,FENI3,282078,236858,83.97,134939,56.97,93630,39.53,,,,,,,,,7679,3.24,610,4P
2008,268,Noakhali,NOAKHALI1,245386,192826,78.58,105380,54.65,,,80658,41.83,,,386,0.2,,,5926,3.07,476,4P
2008,269,Noakhali,NOAKHALI2,185067,157264,84.98,87463,55.62,67497,42.92,,,,,,,,,1521,0.97,783,4P
2008,270,Noakhali,NOAKHALI3,277773,226984,81.72,98537,43.41,4098,1.81,,,,,,,,,123571,54.44,778,others
2008,271,Noakhali,NOAKHALI4,350541,286891,81.84,118956,41.46,131706,45.91,,,,,,,,,35483,12.37,746,MOHAJOTE
2008,272,Noakhali,NOAKHALI5,261883,225378,86.06,111204,49.34,112575,49.95,,,,,,,,,766,0.34,833,MOHAJOTE
2008,273,Noakhali,NOAKHALI6,192834,142549,73.92,680,0.48,,,,,,,,,,,141755,99.44,114,others
2008,274,Laxmipur,LAKSHMIPUR1,161874,133420,82.42,74276,55.67,54946,41.18,,,,,,,,,2983,2.24,1215,4P
2008,275,Laxmipur,LAKSHMIPUR2,271675,223448,82.25,129995,58.18,51732,23.15,,,,,,,,,41088,18.39,633,4P
2008,276,Laxmipur,LAKSHMIPUR3,234077,194201,82.96,109631,56.45,82050,42.25,,,,,,,,,1842,0.95,678,4P
2008,277,Laxmipur,LAKSHMIPUR4,235909,179763,76.2,68549,38.13,58427,32.5,,,,,,,,,51791,28.81,996,4P
2008,278,Chittagong,CHITTAGONG1,238041,201426,84.62,94665,47,105339,52.3,,,,,,,,,1090,0.54,332,MOHAJOTE
2008,279,Chittagong,CHITTAGONG2,280545,224056,79.86,129333,57.72,92266,41.18,,,,,,,,,1098,0.49,1359,4P
2008,280,Chittagong,CHITTAGONG3,308917,252135,81.62,112930,44.79,136298,54.06,,,,,,,,,1498,0.59,1409,MOHAJOTE
2008,281,Chittagong,CHITTAGONG4,332273,248846,74.89,106975,42.99,132168,53.11,,,,,,,,,7485,3.01,2218,MOHAJOTE
2008,282,Chittagong,CHITTAGONG5,210497,166976,79.32,78711,47.14,86606,51.87,,,,,,,,,,,1659,MOHAJOTE
2008,283,Chittagong,CHITTAGONG6,200203,174051,86.94,72073,41.41,101340,58.22,,,,,,,,,,,638,MOHAJOTE
2008,284,Chittagong,CHITTAGONG7,376420,293557,77.99,133466,45.47,150648,51.32,,,,,,,,,7153,2.44,2290,MOHAJOTE
2008,285,Chittagong,CHITTAGONG8,323824,255257,78.83,109484,42.89,140411,55.01,,,,,,,,,2491,0.98,2871,MOHAJOTE
2008,286,Chittagong,CHITTAGONG9,385083,285850,74.23,127815,44.71,,,137106,47.96,,,5758,2.01,,,11692,4.09,3479,AL
2008,287,Chittagong,CHITTAGONG10,433950,321558,74.1,141946,44.14,164591,51.19,,,,,,,,,12223,3.8,2798,MOHAJOTE
2008,288,Chittagong,CHITTAGONG11,216561,188338,86.97,75156,39.9,103869,55.15,,,,,,,,,8380,4.45,933,MOHAJOTE
2008,289,Chittagong,CHITTAGONG12,235021,203979,86.79,86751,42.53,110951,54.39,,,,,,,,,5252,2.57,1025,MOHAJOTE
2008,290,Chittagong,CHITTAGONG13,205132,179244,87.38,33335,18.6,61646,34.39,,,,,,,,,84048,46.89,215,others
2008,291,Chittagong,CHITTAGONG14,270872,236025,87.14,120339,50.99,49472,20.96,,,,,,,,,65622,27.8,592,4P
2008,292,Chittagong,CHITTAGONG15,228382,194980,85.37,99896,51.23,91870,47.12,,,,,,,,,1548,0.79,1666,4P
2008,293,Chittagong,CHITTAGONG16,153018,116882,76.38,62397,53.38,20245,17.32,,,,,,,,,34109,29.18,131,4P
2008,294,Cox's Bazar,COX'S BAZAR1,312321,279004,89.33,156512,56.1,121111,43.41,,,,,,,,,881,0.32,500,4P
2008,295,Cox's Bazar,COX'S BAZAR2,225712,193548,85.75,104271,53.87,86944,44.92,,,,,,,,,2142,1.11,191,4P
2008,296,Cox's Bazar,COX'S BAZAR3,324166,277740,85.68,126478,45.54,86536,31.16,,,,,,,,,64078,23.07,648,4P
2008,297,Cox's Bazar,COX'S BAZAR4,207787,184056,88.58,79310,43.09,103626,56.3,,,,,,,,,676,0.37,444,MOHAJOTE
2008,298,Parbattya,PARBATTYA KHAGRACHHARI1,364136,279781,76.83,62977,22.51,122803,43.89,,,,,,,,,93358,33.37,643,MOHAJOTE
2008,299,Parbattya,PARBATTYA RANGAMATI1,331810,258380,77.87,56429,21.84,115012,44.51,,,,,,,,,54872,21.24,32067,MOHAJOTE
2008,300,Parbattya,PARBATTYA BANDARBAN1,272725,155390,56.98,59174,38.08,78947,50.81,,,,,,,,,16915,10.89,354,MOHAJOTE
