year,constituencyNumber,district,constituency,registeredVoters,validVotes,voterTurnout,fourPartyAlliance,fourPartyAlliancePercentage,mohajote,mohajotePercentage,awamiLeague,awamiLeaguePercentage,bangladeshNationalParty,bangladeshNationalPartyPercentage,jatiyaParty,jatiyaPartyPercentage,jamaatIslami,jamaatIslamiPercentage,others,othersPercentage,blank,winner
2008,123,Barisal,BARISAL5,292067,235238,80.54,105694,44.93,99393,42.25,,,,,,,,,28655,12.18,1496,4P
2008,124,Barisal,BARISAL6,186300,151887,81.53,54005,35.56,89237,58.75,,,,,,,,,8241,5.43,404,MOHAJOTE
2008,125,Jhalokathi,JHALOKATI1,137091,114519,83.54,43098,37.63,64525,56.34,,,,,,,,,6569,5.74,327,MOHAJOTE
2008,126,Jhalokathi,JHALOKATI2,219655,185163,84.3,73851,39.88,104444,56.41,,,,,,,,,6407,3.46,461,MOHAJOTE
2008,127,Pirojpur,PIROJPUR1,228513,208815,91.38,94714,45.36,,,101710,48.71,,,8406,4.03,,,3459,1.66,526,AL
2008,128,Pirojpur,PIROJPUR2,233893,197150,84.29,59428,30.14,128544,65.2,,,,,,,,,8485,4.3,693,MOHAJOTE
2008,129,Pirojpur,PIROJPUR3,160332,136441,85.1,31602,23.16,59420,43.55,,,,,,,,,45245,33.16,174,MOHAJOTE
2008,130,Tangail,TANGAIL1,289240,261062,90.26,88461,33.89,171022,65.51,,,,,,,,,808,0.31,771,MOHAJOTE
2008,131,Tangail,TANGAIL2,283098,251838,88.96,103509,41.1,144710,57.46,,,,,,,,,2995,1.19,624,MOHAJOTE
2008,132,Tangail,TANGAIL3,260477,228057,87.55,83076,36.43,140642,61.67,,,,,,,,,3863,1.69,476,MOHAJOTE
2008,133,Tangail,TANGAIL4,252155,228068,90.45,86912,38.11,138646,60.79,,,,,,,,,1910,0.84,600,MOHAJOTE
2008,134,Tangail,TANGAIL5,306017,262799,85.88,72805,27.7,147152,55.99,,,,,,,,,41967,15.97,875,MOHAJOTE
2008,135,Tangail,TANGAIL6,313141,274172,87.56,45598,16.63,86799,31.66,,,,,,,,,141434,51.59,341,others
2008,136,Tangail,TANGAIL7,257775,223595,86.74,88916,39.77,130154,58.21,,,,,,,,,3713,1.66,812,MOHAJOTE
