year,constituencyNumber,District,constituency,registeredVoters,validVotes,voterTurnout,awamiLeague,awamiLeaguePercentage,bangladeshNationalParty,bangladeshNationalPartyPercentage,jatiyaParty,jatiyaPartyPercentage,jamaatIslami,jamaatIslamiPercentage,others,othersPercentage,winner
1996,215,Gopalganj,Gopalganj-2,177544,133275,75.07,115032,86.31,7825,5.87,3975,2.98,2445,1.83,3998,3.00,AL
1996,216,Gopalganj,Gopalganj-3,139539,111397,79.83,102689,92.18,2568,2.31,453,0.41,2512,2.25,3175,2.85,AL
1996,217,Madaripur,Madaripur-1,138456,95169,68.74,61012,64.11,29312,30.80,,,1724,1.81,3121,3.28,AL
1996,218,Madaripur,Madaripur-2,200046,145677,72.82,92492,63.49,25397,17.43,17031,11.69,2803,1.92,7954,5.46,AL
1996,219,Madaripur,Madaripur-3,174864,122669,70.15,71922,58.63,23720,19.34,12121,9.88,9317,7.60,5589,4.56,AL
1996,220,Shariatpur,Shariatpur-1,176666,130194,73.69,68937,52.95,32266,24.78,938,0.72,4953,3.80,23100,17.74,AL
1996,221,Shariatpur,Shariatpur-2,112778,82339,73.01,48753,59.21,20626,25.05,8191,9.95,1744,2.12,3025,3.67,AL
1996,222,Shariatpur,Shariatpur-3,221631,172432,77.80,82543,47.87,77339,44.85,1650,0.96,6005,3.48,4895,2.84,AL
1996,223,Sunamgonj,Sunamganj-1,224482,164414,73.24,68787,41.84,67312,40.94,16668,10.14,6345,3.86,5302,3.22,AL
1996,224,Sunamgonj,Sunamganj-2,145396,121192,83.35,58496,48.27,1868,1.54,59000,48.68,1104,0.91,724,0.60,JP
1996,225,Sunamgonj,Sunamganj-3,158281,108007,68.24,42851,39.67,17451,16.16,32328,29.93,3107,2.88,12270,11.36,AL
1996,226,Sunamgonj,Sunamganj-4,153668,109186,71.05,34360,31.47,36155,33.11,31209,28.58,6940,6.36,522,0.48,BNP
1996,227,Sunamgonj,Sunamganj-5,219790,147782,67.24,42720,28.91,33875,22.92,41120,27.82,10067,6.81,20000,13.53,AL
1996,228,Sylhet,Sylhet-1,275125,183280,66.62,59710,32.58,58990,32.19,40175,21.92,18029,9.84,6376,3.48,AL
1996,229,Sylhet,Sylhet-2,202411,131497,64.97,42266,32.14,38473,29.26,39044,29.69,6382,4.85,5332,4.05,AL
1996,230,Sylhet,Sylhet-3,129847,90879,69.99,26168,28.79,25954,28.56,26659,29.33,6755,7.43,5343,5.88,JP
1996,231,Sylhet,Sylhet-4,150213,92928,61.86,22725,24.45,23946,25.77,10578,11.38,3095,3.33,32584,35.06,Others
1996,232,Sylhet,Sylhet-5,187303,116891,62.41,29483,25.22,4860,4.16,15054,12.88,28120,24.06,39374,33.68,Others
1996,233,Sylhet,Sylhet-6,223831,152076,67.94,53965,35.49,31970,21.02,34691,22.81,14163,9.31,17287,11.37,AL
1996,234,Moulvibazar,Moulavi Bazar-1,107421,83757,77.97,33179,39.61,20047,23.93,15335,18.31,8958,10.70,6238,7.45,AL
1996,235,Moulvibazar,Moulavi Bazar-2,177035,133635,75.49,52582,39.35,31304,23.43,39992,29.93,5110,3.82,4647,3.48,AL
1996,236,Moulvibazar,Moulavi Bazar-3,225364,170082,75.47,63177,37.15,84292,49.56,15170,8.92,3530,2.08,3913,2.30,BNP
1996,237,Moulvibazar,Moulavi Bazar-4,237666,179921,75.70,91811,51.03,24488,13.61,59825,33.25,2684,1.49,1113,0.62,AL
1996,238,Habiganj,Hobiganj-1,203306,138270,68.01,52940,38.29,27248,19.71,44113,31.90,3393,2.45,10576,7.65,AL
1996,239,Habiganj,Hobiganj-2,176407,128555,72.87,51369,39.96,34530,26.86,32361,25.17,4919,3.83,5376,4.18,AL
1996,240,Habiganj,Hobiganj-3,181605,129379,71.24,45493,35.16,5505,4.25,55795,43.13,2670,2.06,19916,15.39,JP
1996,241,Habiganj,Hobiganj-4,251306,189312,75.33,70240,37.10,59666,31.52,49409,26.10,2611,1.38,7386,3.90,AL
1996,242,Brahmminbaria,Brahmanbaria-1,121105,91556,75.60,33379,36.46,26714,29.18,28280,30.89,1089,1.19,2094,2.29,AL
1996,243,Brahmminbaria,Brahmanbaria-2,183541,141740,77.23,46682,32.93,53932,38.05,16829,11.87,1074,0.76,23223,16.38,BNP
1996,244,Brahmminbaria,Brahmanbaria-3,287719,221637,77.03,72525,32.72,77204,34.83,64347,29.03,4842,2.18,2719,1.23,BNP
1996,245,Brahmminbaria,Brahmanbaria-4,174301,132400,75.96,41615,31.43,38815,29.32,40989,30.96,7913,5.98,3068,2.32,AL
1996,246,Brahmminbaria,Brahmanbaria-5,192010,131992,68.74,60474,45.82,39371,29.83,25071,18.99,4536,3.44,2540,1.92,AL
1996,247,Brahmminbaria,Brahmanbaria-6,131822,100298,76.09,48872,48.73,39531,39.41,7637,7.61,1166,1.16,3092,3.08,AL
1996,248,Comilla,Comilla-1,163304,101351,62.06,29594,29.20,69356,68.43,843,0.83,544,0.54,1014,1.00,BNP
1996,249,Comilla,Comilla-2,232684,157237,67.58,16712,10.63,69175,43.99,64461,41.00,4461,2.84,2428,1.54,BNP
1996,250,Comilla,Comilla-3,208055,157423,75.66,50063,31.80,47763,30.34,53892,34.23,3579,2.27,2126,1.35,JP
1996,251,Comilla,Comilla-4,173313,126873,73.20,33611,26.49,46135,36.36,39209,30.90,7247,5.71,671,0.53,BNP
1996,252,Comilla,Comilla-5,185108,131417,70.99,51184,38.95,38378,29.20,30295,23.05,10038,7.64,1522,1.16,AL
1996,253,Comilla,Comilla-6,133429,97421,73.01,37090,38.07,36724,37.70,636,0.65,2157,2.21,20814,21.37,AL
1996,254,Comilla,Comilla-7,153372,111391,72.63,44855,40.27,41224,37.01,20751,18.63,2797,2.51,1764,1.58,AL
1996,255,Comilla,Comilla-8,169874,116699,68.70,38557,33.04,51080,43.77,20697,17.74,5481,4.70,884,0.76,BNP
1996,256,Comilla,Comilla-9,146621,111535,76.07,57195,51.28,3010,2.70,47570,42.65,2602,2.33,1158,1.04,AL
1996,257,Comilla,Comilla-10,185061,134495,72.68,49298,36.65,46479,34.56,,,13285,9.88,25433,18.91,AL
1996,258,Comilla,Comilla-11,129305,76887,59.46,38382,49.92,27915,36.31,4690,6.10,4884,6.35,1016,1.32,AL
1996,259,Comilla,Comilla-12,161769,107052,66.18,49767,46.49,7255,6.78,22478,21.00,25984,24.27,1568,1.46,AL
1996,260,Chadpur,Chandpur-1,141435,98378,69.56,31214,31.73,34240,34.80,12555,12.76,2958,3.01,17411,17.70,BNP
1996,261,Chadpur,Chandpur-2,156065,112296,71.95,75384,67.13,24096,21.46,10281,9.16,1080,0.96,1455,1.30,AL
1996,262,Chadpur,Chandpur-3,146054,99481,68.11,32419,32.59,39415,39.62,15977,16.06,6285,6.32,5385,5.41,BNP
1996,263,Chadpur,Chandpur-4,192189,127993,66.60,48581,37.96,63050,49.26,8401,6.56,4114,3.21,3847,3.01,BNP
1996,264,Chadpur,Chandpur-5,209745,151584,72.27,62309,41.11,61895,40.83,18700,12.34,6319,4.17,2361,1.56,AL
1996,265,Chadpur,Chandpur-6,166651,97670,58.61,29924,30.64,48482,49.64,13058,13.37,5022,5.14,1184,1.21,BNP
1996,266,Feni,Feni-1,157248,117152,74.50,24457,20.88,65086,55.56,15897,13.57,8480,7.24,3232,2.76,BNP
1996,267,Feni,Feni-2,212446,153359,72.19,68566,44.71,62647,40.85,1507,0.98,11933,7.78,8706,5.68,AL
1996,268,Feni,Feni-3,166651,112232,67.35,42182,37.58,58439,52.07,1578,1.41,8403,7.49,1630,1.45,BNP
1996,269,Noakhali,Noakhali-1,101712,67377,66.24,15440,22.92,31187,46.29,15181,22.53,4682,6.95,887,1.32,BNP
1996,270,Noakhali,Noakhali-2,301777,184055,60.99,53987,29.33,84307,45.81,27375,14.87,14894,8.09,3492,1.90,BNP
1996,271,Noakhali,Noakhali-3,89848,56321,62.68,16458,29.22,25570,45.40,5895,10.47,6038,10.72,2360,4.19,BNP
1996,272,Noakhali,Noakhali-4,213043,134324,63.05,53413,39.76,61632,45.88,6823,5.08,10972,8.17,1484,1.10,BNP
1996,273,Noakhali,Noakhali-5,173446,109678,63.23,40280,36.73,21929,19.99,28744,26.21,17445,15.91,1280,1.17,AL
1996,274,Noakhali,Noakhali-6,135270,85017,62.85,27358,32.18,30148,35.46,25360,29.83,1295,1.52,856,1.01,BNP
1996,275,Laxmipur,Lakshmipur-1,109445,65063,59.45,17244,26.50,28577,43.92,9345,14.36,8843,13.59,1054,1.62,BNP
1996,276,Laxmipur,Lakshmipur-2,183845,114327,62.19,26937,23.56,59054,51.65,6294,5.51,19677,17.21,2365,2.07,BNP
1996,277,Laxmipur,Lakshmipur-3,146070,96629,66.15,27787,28.76,42232,43.71,8226,8.51,16124,16.69,2260,2.34,BNP
1996,278,Laxmipur,Lakshmipur-4,155309,95750,61.65,13465,14.06,35031,36.59,,,8575,8.96,38679,40.40,Others
1996,279,Chittagong,Chittagong-1,175343,137702,78.53,62043,45.06,66336,48.17,2382,1.73,6102,4.43,839,0.61,BNP
1996,280,Chittagong,Chittagong-2,136586,104635,76.61,45478,43.46,43121,41.21,7602,7.27,7488,7.16,946,0.90,AL
1996,281,Chittagong,Chittagong-3,121899,79653,65.34,40911,51.36,33557,42.13,264,0.33,4600,5.78,321,0.40,AL
1996,282,Chittagong,Chittagong-4,197053,137954,70.01,72546,52.59,55703,40.38,338,0.25,8529,6.18,838,0.61,AL
1996,283,Chittagong,Chittagong-5,170843,120254,70.39,42311,35.18,57010,47.41,12964,10.78,5075,4.22,2894,2.41,BNP
1996,284,Chittagong,Chittagong-6,143372,95597,66.68,35993,37.65,50059,52.36,6400,6.69,1504,1.57,1641,1.72,BNP
1996,285,Chittagong,Chittagong-7,135882,94271,69.38,34754,36.87,39296,41.68,893,0.95,3709,3.93,15619,16.57,BNP
1996,286,Chittagong,Chittagong-8,351476,247377,70.38,106341,42.99,116547,47.11,,,19803,8.01,4686,1.89,BNP
1996,287,Chittagong,Chittagong-9,304470,203372,66.80,99240,48.80,85171,41.88,4454,2.19,10724,5.27,3783,1.86,AL
1996,288,Chittagong,Chittagong-10,237042,174676,73.69,77088,44.13,81714,46.78,6493,3.72,6433,3.68,2948,1.69,BNP
1996,289,Chittagong,Chittagong-11,157760,116575,73.89,42774,36.69,49248,42.25,17148,14.71,3712,3.18,3693,3.17,BNP
1996,290,Chittagong,Chittagong-12,158500,111620,70.42,41901,37.54,52792,47.30,8926,8.00,4212,3.77,3789,3.39,BNP
1996,291,Chittagong,Chittagong-13,129783,100794,77.66,30728,30.49,62323,61.83,651,0.65,6433,6.38,659,0.65,BNP
1996,292,Chittagong,Chittagong-14,223064,157355,70.54,35432,22.52,75855,48.21,1208,0.77,41860,26.60,3000,1.91,BNP
1996,293,Chittagong,Chittagong-15,176680,119575,67.68,34076,28.50,45392,37.96,18624,15.58,18070,15.11,3413,2.85,BNP
1996,294,Cox's Bazar,Cox's Bazar-1,122538,157026,128.14,50829,32.37,72594,46.23,1083,0.69,27054,17.23,5466,3.48,BNP
1996,295,Cox's Bazar,Cox's Bazar-2,156109,109025,69.84,32443,29.76,44445,40.77,5793,5.31,21859,20.05,4485,4.11,BNP
1996,296,Cox's Bazar,Cox's Bazar-3,213098,159451,74.83,41405,25.97,69119,43.35,13124,8.23,30901,19.38,4902,3.07,BNP
1996,297,Cox's Bazar,Cox's Bazar-4,145961,100955,69.17,44706,44.28,30594,30.30,,,17607,17.44,8048,7.97,AL
1996,298,Khagrachari,Khagrachhari Hill Tracks,126522,138847,109.74,58058,41.81,48023,34.59,10433,7.51,3024,2.18,19309,13.91,AL
1996,299,Rangamati,Rangamati Hill Tracks,234962,135487,57.66,63101,46.57,38409,28.35,2407,1.78,6246,4.61,25324,18.69,AL
1996,300,Bandarban,Bandarban Hill Tracks,133118,78860,59.24,39488,50.07,28482,36.12,1599,2.03,8909,11.30,382,0.48,AL
,,,,,,,,,,,,,,,,,
