year,constituencyNumber,district,constituency,registeredVoters,validVotes,voterTurnout,fourPartyAlliance,fourPartyAlliancePercentage,awamiLeague,awamiLeaguePercentage,jatiyaParty,jatiyaPartyPercentage,others,othersPercentage,winner
2001,210,Faridpur,Faridpur2,205415,162247,78.98,86450,53.28,74474,45.90,959,0.59,364,0.22,4P
2001,211,Faridpur,Faridpur3,241178,186969,77.52,114618,61.30,69544,37.20,1734,0.93,1073,0.57,4P
2001,212,Faridpur,Faridpur4,166584,112862,67.75,3868,3.43,56231,49.82,,,52763,46.75,AL
2001,213,Faridpur,Faridpur5,154345,119402,77.36,1513,1.27,51662,43.27,1930,1.62,64297,53.85,Others
2001,214,Gopalganj,Gopalganj1,256806,185186,72.11,20136,10.87,145391,78.51,828,0.45,18831,10.17,AL
2001,215,Gopalganj,Gopalganj2,246320,197484,80.17,8164,4.13,185821,94.09,915,0.46,2584,1.31,AL
2001,216,Gopalganj,Gopalganj3,186454,162685,87.25,7223,4.44,154130,94.74,410,0.25,922,0.57,AL
2001,217,Madaripur,Madaripur1,217175,147728,68.02,47831,32.38,98898,66.95,359,0.24,640,0.43,AL
2001,218,Madaripur,Madaripur2,277801,188197,67.75,46234,24.57,139096,73.91,2424,1.29,443,0.24,AL
2001,219,Madaripur,Madaripur3,245359,171946,70.08,18245,10.61,110993,64.55,5200,3.02,37508,21.81,AL
2001,220,Shariatpur,Shariatpur1,263300,182003,69.12,779,0.43,81930,45.02,218,0.12,99076,54.44,Others
2001,221,Shariatpur,Shariatpur2,154478,100917,65.33,18861,18.69,48578,48.14,191,0.19,33287,32.98,AL
2001,222,Shariatpur,Shariatpur3,307364,222930,72.53,95961,43.05,125550,56.32,,,1419,0.64,AL
2001,223,Sunamganj,Sunamganj1,295933,225575,76.23,128448,56.94,95574,42.37,1224,0.54,329,0.15,4P
2001,224,Sunamganj,Sunamgonj2,188742,150582,79.78,66558,44.20,82839,55.01,1185,0.79,,,AL
2001,225,Sunamganj,Sunamgonj3,210785,151533,71.89,63475,41.89,69421,45.81,17738,11.71,899,0.59,AL
2001,226,Sunamganj,Sunamgonj4,194270,143831,74.04,61807,42.97,51864,36.06,30160,20.97,,,4P
2001,227,Sunamganj,Sunamganj5,298407,208232,69.78,113660,54.58,83500,40.10,9523,4.57,1549,0.74,4P
2001,228,Sylhet,Sylhet1,368697,250324,67.89,133827,53.46,95089,37.99,17090,6.83,4318,1.72,4P
2001,229,Sylhet,Sylhet2,263313,190007,72.16,103460,54.45,55291,29.10,27905,14.69,3351,1.76,4P
2001,230,Sylhet,Sylhet3,162209,118593,73.11,55994,47.22,44342,37.39,15402,12.99,2855,2.41,4P
2001,231,Sylhet,Sylhet4,194931,137691,70.64,62324,45.26,47608,34.58,8171,5.93,19588,14.23,4P
2001,232,Sylhet,Sylhet5,239906,158267,65.97,77750,49.13,52885,33.42,23538,14.87,4094,2.59,4P
2001,233,Sylhet,Sylhet6,273585,187784,68.64,607,0.32,71517,38.08,27478,14.63,88182,46.96,Others
2001,234,Maulvibazar,Moulvibazar1,128787,103587,80.43,49281,47.57,47539,45.89,6767,6.53,,,4P
2001,235,Maulvibazar,Moulvibazar2,216302,172879,79.92,12415,7.18,71803,41.53,7312,4.23,81349,47.06,Others
2001,236,Maulvibazar,Moulvibazar3,277624,208668,75.16,108513,52.00,95319,45.68,3980,1.91,856,0.41,4P
2001,237,Maulvibazar,Moulvibazar4,287684,218682,76.01,34726,15.88,96329,44.05,16975,7.76,70652,32.31,AL
2001,238,Habiganj,Habiganj1,262895,186246,70.84,66137,35.51,74693,40.10,43453,23.33,1963,1.05,AL
2001,239,Habiganj,Habiganj2,224854,161481,71.82,50014,30.97,50361,31.19,31431,19.46,29675,18.38,AL
2001,240,Habiganj,Habiganj3,235737,174285,73.93,69306,39.77,83110,47.69,19797,11.36,2072,1.19,AL
